RoadSurfaceCondition,EventHitandRun,EventLocationOnRoadway,EventWeatherCondition,EventWorkZone,PedestrianInvolved,BicycleInvolved,Intoxication,Speeding,DisregardControl,NightTime,HeavyTruck,MotorCycle,AnimalInvolved,ElectronicDistraction,Driver1Sex,Driver1Condition,Driver1AlcoholUse,Driver1DrugUse,PropertyDamageAmount,HighestSeverity,Vehicle1Damage
Dry,No,Gore,Clear,No,0,0,0,0,0,0,0,0,0,0,Female,Apparently Normal,No,No,0,Fatal,15000
Unknown,Yes,Median,Cloudy,Yes,1,1,1,1,1,1,1,1,1,1,Male,Asleep or Fatigued,Yes,Unknown,10,Incapacitating,10000
Wet,,Off Roadway,"Fog, Smog, Smoke",,,,,,,,,,,,No Data,"Emotional (depression, angry, disturbed, etc)",,Yes,50,Non-incapacitating,20000
,,On Roadway,"Other, Explain in Narrative",,,,,,,,,,,,Unknown,Ill (sick) or Fainted,,,100,Possible,3500
,,Outside Right-of-Way,Rain,,,,,,,,,,,,,"Other, Explain in Narrative",,,175,,8000
,,Roadside,,,,,,,,,,,,,,"Seizure, Epilepsy, Blackout",,,200,,5000
,,Separator,,,,,,,,,,,,,,Under the influence of Medications/Drugs/Alcohol,,,250,,500
,,Shoulder,,,,,,,,,,,,,,Unknown,,,300,,2500
,,,,,,,,,,,,,,,,,,,400,,10000
,,,,,,,,,,,,,,,,,,,500,,6000
,,,,,,,,,,,,,,,,,,,600,,20000
,,,,,,,,,,,,,,,,,,,800,,10000
,,,,,,,,,,,,,,,,,,,1000,,5000
,,,,,,,,,,,,,,,,,,,1200,,5000
,,,,,,,,,,,,,,,,,,,1300,,7000
,,,,,,,,,,,,,,,,,,,1310,,5000
,,,,,,,,,,,,,,,,,,,1390,,3000
,,,,,,,,,,,,,,,,,,,1423,,10000
,,,,,,,,,,,,,,,,,,,1500,,5000
,,,,,,,,,,,,,,,,,,,1650,,2500
,,,,,,,,,,,,,,,,,,,1700,,40000
,,,,,,,,,,,,,,,,,,,2000,,3000
,,,,,,,,,,,,,,,,,,,2100,,2000
,,,,,,,,,,,,,,,,,,,2200,,2000
,,,,,,,,,,,,,,,,,,,2500,,5000
,,,,,,,,,,,,,,,,,,,2726,,25000
,,,,,,,,,,,,,,,,,,,2780,,3000
,,,,,,,,,,,,,,,,,,,2800,,4000
,,,,,,,,,,,,,,,,,,,3000,,2000
,,,,,,,,,,,,,,,,,,,3200,,8000
,,,,,,,,,,,,,,,,,,,3500,,3000
,,,,,,,,,,,,,,,,,,,4000,,5000
,,,,,,,,,,,,,,,,,,,4500,,6500
,,,,,,,,,,,,,,,,,,,4833,,5000
,,,,,,,,,,,,,,,,,,,5000,,4000
,,,,,,,,,,,,,,,,,,,6000,,5000
,,,,,,,,,,,,,,,,,,,6500,,500
,,,,,,,,,,,,,,,,,,,7000,,10000
,,,,,,,,,,,,,,,,,,,7500,,5000
,,,,,,,,,,,,,,,,,,,8000,,10000
,,,,,,,,,,,,,,,,,,,10000,,15000
,,,,,,,,,,,,,,,,,,,12000,,20000
,,,,,,,,,,,,,,,,,,,15000,,2500
,,,,,,,,,,,,,,,,,,,16000,,8000
,,,,,,,,,,,,,,,,,,,20000,,1300
,,,,,,,,,,,,,,,,,,,25000,,20000
,,,,,,,,,,,,,,,,,,,30000,,10000
,,,,,,,,,,,,,,,,,,,40000,,7000
,,,,,,,,,,,,,,,,,,,125000,,2000
,,,,,,,,,,,,,,,,,,,300000,,6000
,,,,,,,,,,,,,,,,,,,,,6000
,,,,,,,,,,,,,,,,,,,,,15000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,6000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,5000
,,,,,,,,,,,,,,,,,,,,,7000
,,,,,,,,,,,,,,,,,,,,,5000
